Age_group,Attrition,BusinessTravel,DailyRate,Department,Distance_group,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
18-30,1,Travel_Rarely,896,Research & Development,Far,Technical Training,Medical,Satisfied,Male,86,Dissatisfied,Entry level,Research Scientist,Very satisfied,Single,2389,14961,1,Y,Yes,13,Low,Satisfied,80,Level 1,1-10,3,Average,1-10,3,0,1
46-60,0,Travel_Rarely,1323,Research & Development,Near-by,Bachelors degree,Life Sciences,Satisfied,Female,89,Dissatisfied,Entry level,Laboratory Technician,Very satisfied,Single,3212,3300,7,Y,No,15,Low,Dissatisfied,80,Level 1,1-10,3,Average,1-10,2,2,2
31-45,0,Travel_Rarely,532,Research & Development,Near-by,College,Technical Degree,Satisfied,Male,58,Satisfied,Executive,Manager,Very satisfied,Married,19232,4933,1,Y,No,11,Low,Very satisfied,80,Level 1,21-30,3,Good,21-30,17,11,15
46-60,0,Travel_Rarely,818,Human Resources,Near-by,College,Medical,Dissatisfied,Male,52,Satisfied,Entry level,Human Resources,Satisfied,Married,2267,25657,8,Y,No,17,Low,Very satisfied,80,Level 1,1-10,2,Average,1-10,2,2,2
46-60,0,Travel_Rarely,854,Sales,Near-by,Masters degree,Medical,Very satisfied,Female,68,Satisfied,Executive,Manager,Very satisfied,Divorced,19517,24118,3,Y,No,11,Low,Satisfied,80,Level 2,31-40,3,Average,1-10,0,0,6
31-45,1,Travel_Rarely,813,Research & Development,Far,Bachelors degree,Medical,Satisfied,Male,58,Satisfied,Entry level,Laboratory Technician,Very satisfied,Married,2436,22149,5,Y,Yes,13,Low,Satisfied,80,Level 2,1-10,2,Bad,1-10,4,0,4
31-45,0,Travel_Rarely,1034,Sales,Far,Bachelors degree,Marketing,Very satisfied,Female,80,Satisfied,Senior,Manager,Very satisfied,Married,16064,7744,5,Y,Yes,22,High,Satisfied,80,Level 2,21-30,3,Good,11-20,13,1,9
31-45,1,Travel_Rarely,465,Research & Development,Near-by,College,Life Sciences,Very dissatisfied,Female,39,Satisfied,Entry level,Laboratory Technician,Very dissatisfied,Married,2707,21509,7,Y,No,20,High,Very dissatisfied,80,Level 1,11-20,3,Excellent,1-10,7,1,7
46-60,0,Non-Travel,771,Sales,Near-by,Masters degree,Life Sciences,Very dissatisfied,Male,79,Dissatisfied,Executive,Manager,Satisfied,Single,19068,21030,1,Y,Yes,18,Low,Very satisfied,80,Level 1,31-40,2,Excellent,31-40,7,15,12
31-45,0,Travel_Rarely,1401,Sales,Near-by,College,Life Sciences,Satisfied,Female,56,Satisfied,Entry level,Sales Representative,Dissatisfied,Married,3931,20990,2,Y,No,11,Low,Very dissatisfied,80,Level 2,1-10,5,Good,1-10,3,1,2
31-45,1,Travel_Rarely,515,Research & Development,Near-by,Bachelors degree,Life Sciences,Very satisfied,Male,62,Dissatisfied,Entry level,Laboratory Technician,Satisfied,Single,3730,9571,0,Y,Yes,14,Low,Very satisfied,80,Level 1,1-10,2,Bad,1-10,2,1,2
31-45,0,Travel_Rarely,1431,Research & Development,Near-by,Masters degree,Medical,Satisfied,Female,96,Satisfied,Entry level,Laboratory Technician,Satisfied,Divorced,2232,15417,7,Y,No,14,Low,Satisfied,80,Level 4,1-10,1,Good,1-10,2,1,2
31-45,0,Non-Travel,976,Sales,Very far,Masters degree,Marketing,Satisfied,Male,100,Satisfied,Junior or Associate,Sales Executive,Very satisfied,Married,4465,12069,0,Y,No,18,Low,Very dissatisfied,80,Level 1,1-10,2,Good,1-10,2,2,2
31-45,0,Travel_Rarely,1411,Research & Development,Far,College,Life Sciences,Satisfied,Male,36,Satisfied,Junior or Associate,Research Scientist,Very dissatisfied,Divorced,3072,19877,2,Y,No,16,Low,Very dissatisfied,80,Level 3,11-20,2,Average,1-10,0,0,0
31-45,0,Travel_Rarely,1300,Research & Development,Very far,College,Technical Degree,Very dissatisfied,Male,62,Satisfied,Junior or Associate,Research Scientist,Very satisfied,Divorced,3319,24447,1,Y,No,17,Low,Very dissatisfied,80,Level 3,1-10,3,Good,1-10,8,4,7
31-45,0,Travel_Rarely,252,Research & Development,Near-by,Bachelors degree,Other,Satisfied,Male,70,Very satisfied,Executive,Manager,Very satisfied,Married,19202,15970,0,Y,No,11,Low,Satisfied,80,Level 2,21-30,2,Good,21-30,0,1,7
31-45,0,Travel_Frequently,1327,Research & Development,Near-by,Masters degree,Medical,Dissatisfied,Male,73,Satisfied,Mid level Specialist,Research Director,Satisfied,Divorced,13675,13523,9,Y,No,12,Low,Very dissatisfied,80,Level 2,1-10,3,Good,1-10,2,2,2
31-45,0,Travel_Rarely,832,Research & Development,Near-by,Masters degree,Life Sciences,Satisfied,Female,63,Dissatisfied,Entry level,Research Scientist,Very satisfied,Married,2911,14776,1,Y,No,13,Low,Satisfied,80,Level 2,1-10,2,Average,1-10,2,0,2
31-45,0,Travel_Rarely,470,Research & Development,Near-by,Masters degree,Life Sciences,Very satisfied,Male,84,Dissatisfied,Junior or Associate,Manufacturing Director,Very dissatisfied,Married,5957,23687,6,Y,No,13,Low,Dissatisfied,80,Level 2,11-20,3,Good,11-20,9,5,9
31-45,0,Travel_Rarely,1017,Research & Development,Near-by,College,Medical,Satisfied,Female,83,Dissatisfied,Entry level,Research Scientist,Very dissatisfied,Married,3920,18697,2,Y,No,14,Low,Very dissatisfied,80,Level 2,11-20,2,Average,1-10,1,0,2
31-45,0,Travel_Frequently,1199,Research & Development,Near-by,Masters degree,Life Sciences,Very dissatisfied,Male,77,Very satisfied,Junior or Associate,Manufacturing Director,Satisfied,Married,6434,5118,4,Y,No,17,Low,Very satisfied,80,Level 2,1-10,1,Good,1-10,2,0,2
31-45,1,Travel_Frequently,504,Research & Development,Far,Bachelors degree,Medical,Very dissatisfied,Male,61,Satisfied,Mid level Specialist,Manufacturing Director,Satisfied,Divorced,10048,22573,6,Y,No,11,Low,Dissatisfied,80,Level 3,11-20,5,Good,1-10,0,0,0
31-45,0,Travel_Frequently,505,Research & Development,Near-by,Masters degree,Technical Degree,Satisfied,Female,64,Satisfied,Mid level Specialist,Healthcare Representative,Satisfied,Single,10938,6420,0,Y,No,25,High,Very satisfied,80,Level 1,21-30,1,Good,11-20,6,11,8
18-30,0,Travel_Rarely,665,Research & Development,Far,Bachelors degree,Life Sciences,Satisfied,Male,60,Satisfied,Entry level,Research Scientist,Very satisfied,Single,2340,22673,1,Y,No,19,Low,Very dissatisfied,80,Level 1,1-10,1,Good,1-10,5,1,5
31-45,0,Travel_Rarely,916,Research & Development,Far,College,Life Sciences,Very satisfied,Female,82,Very satisfied,Junior or Associate,Research Scientist,Very dissatisfied,Single,6545,23016,3,Y,Yes,13,Low,Satisfied,80,Level 1,11-20,1,Good,1-10,2,0,2
18-30,0,Travel_Rarely,1247,Sales,Very far,College,Marketing,Very satisfied,Male,45,Satisfied,Junior or Associate,Sales Executive,Very satisfied,Divorced,6931,10732,2,Y,No,14,Low,Very satisfied,80,Level 2,11-20,2,Good,1-10,2,0,2
18-30,0,Travel_Rarely,685,Research & Development,Near-by,Bachelors degree,Life Sciences,Very dissatisfied,Female,62,Satisfied,Junior or Associate,Manufacturing Director,Satisfied,Married,4898,7505,0,Y,No,12,Low,Very satisfied,80,Level 3,1-10,3,Good,1-10,2,1,2
31-45,0,Travel_Rarely,269,Research & Development,Near-by,Bachelors degree,Medical,Very satisfied,Female,56,Dissatisfied,Entry level,Laboratory Technician,Very dissatisfied,Divorced,2593,8007,0,Y,Yes,11,Low,Satisfied,80,Level 2,11-20,4,Good,1-10,6,7,8
31-45,0,Travel_Rarely,1416,Research & Development,Near-by,College,Medical,Very dissatisfied,Male,49,Satisfied,Executive,Research Director,Satisfied,Divorced,19436,5949,0,Y,No,19,Low,Very satisfied,80,Level 2,21-30,5,Good,21-30,7,3,9
46-60,0,Travel_Rarely,833,Research & Development,Near-by,Bachelors degree,Life Sciences,Satisfied,Male,96,Satisfied,Entry level,Research Scientist,Very satisfied,Married,2723,23231,1,Y,No,11,Low,Dissatisfied,80,Level 1,1-10,0,Average,1-10,0,0,0
31-45,1,Travel_Frequently,307,Research & Development,Very far,College,Medical,Satisfied,Male,71,Dissatisfied,Entry level,Laboratory Technician,Dissatisfied,Single,3479,11652,0,Y,No,11,Low,Dissatisfied,80,Level 1,1-10,2,Excellent,1-10,4,1,4
31-45,0,Travel_Frequently,1311,Research & Development,Near-by,Bachelors degree,Life Sciences,Dissatisfied,Male,100,Very satisfied,Entry level,Laboratory Technician,Dissatisfied,Married,2794,26062,1,Y,No,20,High,Satisfied,80,Level 1,1-10,3,Bad,1-10,1,0,3
31-45,0,Non-Travel,1327,Sales,Near-by,College,Life Sciences,Very satisfied,Male,39,Dissatisfied,Junior or Associate,Sales Executive,Very satisfied,Married,5249,19682,3,Y,No,18,Low,Very satisfied,80,Level 2,11-20,0,Good,1-10,7,7,5
31-45,0,Travel_Rarely,128,Research & Development,Near-by,Technical Training,Technical Degree,Very satisfied,Male,84,Dissatisfied,Junior or Associate,Laboratory Technician,Very dissatisfied,Single,2176,19737,4,Y,No,13,Low,Very satisfied,80,Level 1,1-10,5,Good,1-10,2,0,4
46-60,0,Travel_Rarely,488,Sales,Near-by,Bachelors degree,Technical Degree,Satisfied,Female,75,Very dissatisfied,Senior,Manager,Dissatisfied,Married,16872,14977,3,Y,Yes,12,Low,Dissatisfied,80,Level 2,21-30,2,Average,1-10,7,7,7
18-30,1,Travel_Rarely,529,Research & Development,Near-by,Masters degree,Life Sciences,Very dissatisfied,Male,79,Satisfied,Entry level,Laboratory Technician,Satisfied,Single,3485,14935,2,Y,No,11,Low,Satisfied,80,Level 1,1-10,5,Bad,1-10,0,0,0
18-30,0,Travel_Rarely,1210,Sales,Near-by,Bachelors degree,Medical,Very dissatisfied,Male,78,Dissatisfied,Junior or Associate,Sales Executive,Dissatisfied,Married,6644,3687,2,Y,No,19,Low,Dissatisfied,80,Level 3,11-20,2,Good,1-10,0,0,0
31-45,0,Travel_Rarely,1463,Research & Development,Very far,Bachelors degree,Medical,Dissatisfied,Male,64,Dissatisfied,Junior or Associate,Healthcare Representative,Very satisfied,Married,5582,14408,0,Y,No,21,High,Dissatisfied,80,Level 2,11-20,2,Good,1-10,0,7,8
18-30,0,Non-Travel,675,Research & Development,Near-by,College,Life Sciences,Dissatisfied,Male,85,Very satisfied,Junior or Associate,Healthcare Representative,Very dissatisfied,Divorced,4000,18384,1,Y,No,12,Low,Very satisfied,80,Level 3,1-10,2,Good,1-10,3,1,5
31-45,0,Travel_Rarely,1385,Research & Development,Very far,College,Medical,Satisfied,Male,79,Satisfied,Senior,Healthcare Representative,Very satisfied,Married,13496,7501,0,Y,Yes,14,Low,Dissatisfied,80,Level 1,21-30,2,Good,21-30,7,4,10
31-45,0,Travel_Rarely,1403,Research & Development,Near-by,Bachelors degree,Life Sciences,Very satisfied,Male,47,Satisfied,Entry level,Laboratory Technician,Very satisfied,Married,3210,20251,0,Y,No,11,Low,Satisfied,80,Level 2,11-20,4,Good,11-20,13,10,11
46-60,0,Travel_Rarely,452,Research & Development,Near-by,Bachelors degree,Medical,Very satisfied,Male,81,Satisfied,Executive,Manager,Very dissatisfied,Single,19045,18938,0,Y,Yes,14,Low,Satisfied,80,Level 1,31-40,2,Good,31-40,10,4,13
46-60,1,Non-Travel,666,Research & Development,Very far,Masters degree,Life Sciences,Very dissatisfied,Male,88,Satisfied,Mid level Specialist,Manager,Dissatisfied,Married,11849,10268,1,Y,Yes,12,Low,Very satisfied,80,Level 2,11-20,2,Average,11-20,7,9,9
18-30,0,Travel_Rarely,1158,Research & Development,Near-by,Bachelors degree,Medical,Very satisfied,Male,94,Satisfied,Entry level,Research Scientist,Very satisfied,Married,2070,2613,1,Y,No,23,High,Very satisfied,80,Level 2,1-10,3,Average,1-10,2,0,4
31-45,0,Travel_Rarely,228,Sales,Near-by,Masters degree,Medical,Satisfied,Male,98,Satisfied,Junior or Associate,Sales Executive,Very satisfied,Married,6502,22825,4,Y,No,14,Low,Dissatisfied,80,Level 2,1-10,5,Excellent,1-10,4,0,1
18-30,0,Travel_Rarely,996,Research & Development,Near-by,College,Medical,Very satisfied,Male,100,Dissatisfied,Entry level,Research Scientist,Satisfied,Single,3230,10531,1,Y,No,17,Low,Very dissatisfied,80,Level 1,1-10,4,Excellent,1-10,2,1,0
31-45,0,Non-Travel,728,Research & Development,Near-by,Masters degree,Medical,Very dissatisfied,Female,80,Satisfied,Mid level Specialist,Research Director,Very satisfied,Divorced,13603,11677,2,Y,Yes,18,Low,Very dissatisfied,80,Level 3,11-20,2,Good,1-10,2,0,2
31-45,0,Travel_Rarely,1315,Research & Development,Very far,Bachelors degree,Life Sciences,Dissatisfied,Female,71,Very satisfied,Mid level Specialist,Manager,Dissatisfied,Divorced,11996,19100,7,Y,No,18,Low,Dissatisfied,80,Level 2,11-20,6,Average,1-10,7,6,2
31-45,0,Travel_Rarely,322,Sales,Near-by,College,Medical,Very dissatisfied,Female,44,Very satisfied,Junior or Associate,Sales Executive,Very dissatisfied,Divorced,5605,19191,1,Y,Yes,24,High,Satisfied,80,Level 2,1-10,3,Good,1-10,0,7,7
18-30,0,Travel_Frequently,1479,Research & Development,Near-by,Bachelors degree,Life Sciences,Satisfied,Female,84,Satisfied,Junior or Associate,Manufacturing Director,Dissatisfied,Divorced,6397,26767,1,Y,No,20,High,Very dissatisfied,80,Level 2,1-10,6,Bad,1-10,5,1,4
46-60,0,Travel_Rarely,797,Research & Development,Near-by,Technical Training,Life Sciences,Very dissatisfied,Male,96,Satisfied,Executive,Research Director,Dissatisfied,Divorced,19144,15815,3,Y,No,14,Low,Very dissatisfied,80,Level 3,21-30,4,Average,11-20,4,1,6
46-60,0,Travel_Rarely,1070,Research & Development,Near-by,Masters degree,Medical,Satisfied,Male,45,Satisfied,Senior,Research Director,Satisfied,Married,17584,21016,3,Y,Yes,16,Low,Very satisfied,80,Level 4,21-30,5,Average,1-10,3,1,3
31-45,0,Travel_Rarely,635,Sales,Near-by,Technical Training,Life Sciences,Dissatisfied,Male,99,Satisfied,Junior or Associate,Sales Executive,Satisfied,Married,4907,24532,1,Y,No,25,High,Satisfied,80,Level 1,21-30,3,Good,21-30,16,11,6
18-30,0,Travel_Frequently,442,Sales,Near-by,College,Life Sciences,Dissatisfied,Male,44,Satisfied,Junior or Associate,Sales Executive,Very satisfied,Single,4554,20260,1,Y,No,18,Low,Very dissatisfied,80,Level 1,11-20,3,Average,11-20,7,0,9
46-60,0,Travel_Rarely,147,Research & Development,Very far,College,Technical Degree,Dissatisfied,Male,37,Satisfied,Junior or Associate,Laboratory Technician,Very satisfied,Married,5415,15972,3,Y,Yes,19,Low,Very satisfied,80,Level 2,11-20,4,Good,11-20,7,0,8
18-30,0,Travel_Frequently,496,Research & Development,Far,College,Medical,Very dissatisfied,Male,60,Satisfied,Junior or Associate,Healthcare Representative,Very dissatisfied,Married,4741,22722,1,Y,Yes,13,Low,Satisfied,80,Level 2,1-10,3,Good,1-10,3,3,3
31-45,0,Travel_Rarely,1372,Research & Development,Near-by,Bachelors degree,Life Sciences,Very satisfied,Female,42,Satisfied,Entry level,Research Scientist,Very satisfied,Single,2115,15881,1,Y,No,12,Low,Dissatisfied,80,Level 1,11-20,3,Good,11-20,12,5,7
31-45,1,Travel_Frequently,920,Research & Development,Very far,Bachelors degree,Life Sciences,Very satisfied,Male,43,Satisfied,Entry level,Laboratory Technician,Satisfied,Divorced,3161,19920,3,Y,Yes,22,High,Very satisfied,80,Level 2,11-20,0,Bad,1-10,0,0,0
31-45,0,Travel_Rarely,688,Research & Development,Very far,Masters degree,Life Sciences,Very satisfied,Male,82,Satisfied,Junior or Associate,Healthcare Representative,Very satisfied,Divorced,5745,18899,9,Y,No,14,Low,Dissatisfied,80,Level 2,11-20,2,Good,1-10,2,1,2
18-30,1,Travel_Rarely,1449,Research & Development,Far,Masters degree,Medical,Very dissatisfied,Male,45,Satisfied,Entry level,Laboratory Technician,Dissatisfied,Divorced,2373,14180,2,Y,Yes,13,Low,Very satisfied,80,Level 2,1-10,2,Good,1-10,2,0,2
18-30,0,Travel_Rarely,1117,Research & Development,Near-by,College,Life Sciences,Very satisfied,Female,66,Satisfied,Entry level,Research Scientist,Very satisfied,Single,3310,4488,1,Y,No,21,High,Very satisfied,80,Level 1,1-10,3,Good,1-10,3,0,2
46-60,0,Travel_Frequently,636,Research & Development,Far,Masters degree,Life Sciences,Satisfied,Female,35,Satisfied,Executive,Research Director,Very dissatisfied,Single,18665,25594,9,Y,Yes,11,Low,Very satisfied,80,Level 1,21-30,4,Good,1-10,2,1,2
31-45,0,Travel_Rarely,506,Research & Development,Near-by,Bachelors degree,Technical Degree,Satisfied,Male,30,Satisfied,Junior or Associate,Research Scientist,Dissatisfied,Single,4485,26285,4,Y,No,12,Low,Very satisfied,80,Level 1,11-20,2,Good,1-10,0,7,7
31-45,0,Travel_Frequently,444,Sales,Near-by,Bachelors degree,Marketing,Very satisfied,Female,84,Satisfied,Entry level,Sales Representative,Dissatisfied,Divorced,2789,3909,1,Y,No,11,Low,Satisfied,80,Level 2,1-10,5,Average,1-10,2,2,2
18-30,1,Travel_Rarely,950,Sales,Near-by,Masters degree,Marketing,Very satisfied,Male,48,Dissatisfied,Junior or Associate,Sales Executive,Very satisfied,Single,5828,8450,1,Y,Yes,12,Low,Dissatisfied,80,Level 1,1-10,0,Good,1-10,7,7,4
31-45,0,Travel_Frequently,889,Research & Development,Near-by,Bachelors degree,Medical,Dissatisfied,Male,53,Satisfied,Entry level,Research Scientist,Very satisfied,Married,2326,11411,1,Y,Yes,12,Low,Satisfied,80,Level 4,1-10,3,Average,1-10,2,1,2
31-45,0,Travel_Frequently,555,Sales,Very far,Bachelors degree,Marketing,Satisfied,Female,77,Satisfied,Senior,Sales Executive,Dissatisfied,Married,13525,14864,5,Y,No,14,Low,Very satisfied,80,Level 2,21-30,2,Excellent,21-30,4,4,8
18-30,1,Travel_Rarely,230,Research & Development,Near-by,Bachelors degree,Life Sciences,Satisfied,Male,54,Satisfied,Entry level,Laboratory Technician,Satisfied,Single,1420,25233,1,Y,No,13,Low,Satisfied,80,Level 1,1-10,2,Good,1-10,0,0,0
31-45,0,Travel_Rarely,1232,Sales,Far,Bachelors degree,Marketing,Satisfied,Male,96,Satisfied,Mid level Specialist,Sales Executive,Dissatisfied,Married,8020,5100,0,Y,No,15,Low,Satisfied,80,Level 3,11-20,3,Average,11-20,9,6,9
31-45,0,Travel_Frequently,566,Research & Development,Far,Masters degree,Life Sciences,Satisfied,Male,81,Very satisfied,Entry level,Laboratory Technician,Very satisfied,Married,3688,7122,4,Y,No,18,Low,Very satisfied,80,Level 3,1-10,2,Good,1-10,0,0,0
46-60,0,Travel_Rarely,1302,Research & Development,Near-by,Bachelors degree,Medical,Very satisfied,Male,84,Very dissatisfied,Junior or Associate,Manufacturing Director,Dissatisfied,Divorced,5482,16321,5,Y,No,18,Low,Very satisfied,80,Level 2,11-20,3,Good,1-10,1,1,2
31-45,0,Travel_Rarely,334,Sales,Near-by,Masters degree,Life Sciences,Very satisfied,Male,88,Satisfied,Senior,Manager,Dissatisfied,Single,16015,15896,1,Y,No,19,Low,Dissatisfied,80,Level 1,21-30,2,Good,21-30,10,0,4
18-30,0,Travel_Rarely,812,Sales,Far,Bachelors degree,Medical,Very satisfied,Female,69,Dissatisfied,Entry level,Sales Representative,Satisfied,Single,1200,9724,1,Y,No,12,Low,Very dissatisfied,80,Level 1,1-10,2,Good,1-10,0,0,0
18-30,0,Travel_Rarely,1476,Research & Development,Far,College,Medical,Dissatisfied,Male,68,Very satisfied,Junior or Associate,Healthcare Representative,Very dissatisfied,Single,5661,4824,0,Y,No,19,Low,Satisfied,80,Level 1,1-10,2,Good,1-10,3,0,7
31-45,0,Travel_Rarely,218,Sales,Near-by,Bachelors degree,Technical Degree,Dissatisfied,Male,100,Very satisfied,Junior or Associate,Sales Executive,Very satisfied,Married,6929,12241,4,Y,No,11,Low,Dissatisfied,80,Level 2,11-20,3,Average,1-10,7,7,7
31-45,0,Travel_Rarely,1132,Research & Development,Near-by,Bachelors degree,Medical,Satisfied,Male,48,Very satisfied,Mid level Specialist,Healthcare Representative,Very satisfied,Divorced,9613,10942,0,Y,No,17,Low,Very dissatisfied,80,Level 4,11-20,5,Average,11-20,10,3,7
31-45,0,Non-Travel,1105,Research & Development,Very far,Masters degree,Life Sciences,Dissatisfied,Female,47,Satisfied,Junior or Associate,Laboratory Technician,Dissatisfied,Married,5674,6927,7,Y,No,15,Low,Satisfied,80,Level 2,11-20,3,Good,1-10,8,0,8
31-45,0,Travel_Rarely,906,Sales,Near-by,Bachelors degree,Life Sciences,Very satisfied,Male,91,Dissatisfied,Junior or Associate,Sales Executive,Satisfied,Married,5484,16985,1,Y,No,14,Low,Satisfied,80,Level 2,11-20,3,Average,11-20,8,4,8
31-45,0,Travel_Rarely,849,Research & Development,Very far,College,Life Sciences,Very dissatisfied,Female,81,Dissatisfied,Mid level Specialist,Research Director,Dissatisfied,Married,12061,26707,3,Y,No,17,Low,Satisfied,80,Level 2,11-20,2,Good,11-20,8,0,1
46-60,0,Non-Travel,390,Research & Development,Near-by,Masters degree,Life Sciences,Very satisfied,Male,32,Very dissatisfied,Junior or Associate,Healthcare Representative,Satisfied,Divorced,5660,17056,2,Y,Yes,13,Low,Very satisfied,80,Level 2,11-20,2,Good,1-10,3,1,2
31-45,0,Travel_Rarely,691,Research & Development,Near-by,Masters degree,Technical Degree,Satisfied,Male,86,Satisfied,Entry level,Research Scientist,Very satisfied,Married,4821,10077,0,Y,Yes,12,Low,Satisfied,80,Level 2,1-10,4,Good,1-10,2,0,3
31-45,0,Travel_Rarely,106,Human Resources,Near-by,Bachelors degree,Human Resources,Very dissatisfied,Male,62,Dissatisfied,Junior or Associate,Human Resources,Very dissatisfied,Married,6410,17822,3,Y,No,12,Low,Very satisfied,80,Level 1,1-10,1,Good,1-10,2,1,0
31-45,0,Travel_Frequently,1249,Research & Development,Near-by,Bachelors degree,Life Sciences,Very dissatisfied,Male,97,Satisfied,Mid level Specialist,Laboratory Technician,Very dissatisfied,Divorced,5210,20308,1,Y,No,18,Low,Very dissatisfied,80,Level 2,21-30,2,Good,21-30,9,9,11
31-45,0,Travel_Rarely,192,Research & Development,Near-by,Masters degree,Life Sciences,Satisfied,Male,32,Satisfied,Entry level,Research Scientist,Very satisfied,Divorced,2695,7747,0,Y,Yes,18,Low,Dissatisfied,80,Level 2,1-10,2,Bad,1-10,2,2,2
31-45,0,Travel_Frequently,553,Research & Development,Near-by,Masters degree,Life Sciences,Very satisfied,Female,74,Satisfied,Mid level Specialist,Manager,Dissatisfied,Married,11878,23364,6,Y,No,11,Low,Dissatisfied,80,Level 3,11-20,2,Good,11-20,6,8,8
31-45,0,Travel_Rarely,117,Research & Development,Far,Technical Training,Medical,Satisfied,Male,99,Satisfied,Senior,Manager,Very dissatisfied,Married,17068,5355,1,Y,Yes,14,Low,Very satisfied,80,Level 1,21-30,3,Good,21-30,9,11,10
31-45,0,Travel_Frequently,185,Research & Development,Far,Masters degree,Life Sciences,Satisfied,Female,33,Satisfied,Entry level,Laboratory Technician,Very satisfied,Single,2455,10675,0,Y,No,19,Low,Very dissatisfied,80,Level 1,1-10,5,Good,1-10,7,1,7
46-60,0,Travel_Rarely,1091,Research & Development,Near-by,College,Technical Degree,Satisfied,Female,90,Dissatisfied,Senior,Healthcare Representative,Satisfied,Single,13964,17810,7,Y,Yes,12,Low,Very satisfied,80,Level 1,21-30,2,Good,1-10,1,0,7
46-60,1,Travel_Rarely,723,Research & Development,Near-by,Masters degree,Medical,Satisfied,Male,85,Dissatisfied,Junior or Associate,Research Scientist,Dissatisfied,Married,4941,17747,2,Y,No,15,Low,Very dissatisfied,80,Level 1,11-20,3,Average,1-10,2,7,7
18-30,0,Travel_Rarely,1220,Research & Development,Near-by,Bachelors degree,Life Sciences,Satisfied,Female,85,Satisfied,Entry level,Research Scientist,Dissatisfied,Single,2478,20938,1,Y,Yes,12,Low,Dissatisfied,80,Level 1,1-10,2,Average,1-10,3,1,2
31-45,0,Travel_Rarely,588,Sales,Near-by,College,Technical Degree,Satisfied,Female,65,Dissatisfied,Junior or Associate,Sales Executive,Dissatisfied,Married,5228,24624,1,Y,Yes,11,Low,Very satisfied,80,Level 1,11-20,2,Good,11-20,12,11,9
18-30,0,Travel_Rarely,1377,Sales,Near-by,Bachelors degree,Life Sciences,Very satisfied,Male,74,Satisfied,Junior or Associate,Sales Executive,Satisfied,Single,4478,5242,1,Y,Yes,11,Low,Very dissatisfied,80,Level 1,1-10,3,Good,1-10,4,0,4
31-45,0,Travel_Rarely,691,Sales,Near-by,Bachelors degree,Marketing,Very satisfied,Male,73,Satisfied,Junior or Associate,Sales Executive,Very satisfied,Divorced,7547,7143,4,Y,No,12,Low,Very satisfied,80,Level 4,11-20,3,Good,1-10,7,1,7
31-45,0,Travel_Rarely,1018,Research & Development,Near-by,Masters degree,Medical,Very dissatisfied,Female,74,Very satisfied,Junior or Associate,Research Scientist,Very satisfied,Single,5055,10557,7,Y,No,16,Low,Satisfied,80,Level 1,11-20,0,Average,1-10,7,0,7
18-30,1,Travel_Rarely,1157,Research & Development,Near-by,Masters degree,Medical,Very dissatisfied,Male,84,Very dissatisfied,Entry level,Research Scientist,Very satisfied,Married,3464,24737,5,Y,Yes,13,Low,Very satisfied,80,Level 1,1-10,4,Average,1-10,2,2,2
18-30,0,Travel_Rarely,1275,Research & Development,Very far,College,Medical,Very satisfied,Female,64,Satisfied,Junior or Associate,Research Scientist,Very satisfied,Married,5775,11934,1,Y,No,13,Low,Very satisfied,80,Level 3,11-20,2,Good,11-20,8,1,9
31-45,0,Travel_Frequently,798,Research & Development,Near-by,College,Life Sciences,Satisfied,Female,48,Dissatisfied,Mid level Specialist,Manufacturing Director,Satisfied,Married,8943,14034,1,Y,No,24,High,Very dissatisfied,80,Level 2,11-20,2,Good,11-20,9,8,9
31-45,0,Travel_Frequently,672,Research & Development,Near-by,College,Medical,Satisfied,Male,54,Dissatisfied,Executive,Manager,Very satisfied,Married,19272,21141,1,Y,No,15,Low,Very dissatisfied,80,Level 2,21-30,2,Good,21-30,9,13,3
31-45,1,Travel_Rarely,1162,Sales,Near-by,College,Medical,Very satisfied,Female,41,Satisfied,Junior or Associate,Sales Executive,Satisfied,Married,5238,17778,4,Y,Yes,18,Low,Very dissatisfied,80,Level 1,11-20,3,Average,1-10,0,0,0
31-45,0,Travel_Frequently,508,Sales,Far,Bachelors degree,Marketing,Dissatisfied,Male,46,Dissatisfied,Junior or Associate,Sales Executive,Very satisfied,Single,4682,4317,3,Y,No,14,Low,Satisfied,80,Level 1,1-10,6,Average,1-10,7,0,1
46-60,0,Travel_Rarely,1482,Research & Development,Near-by,Doctorate degree,Life Sciences,Very satisfied,Male,42,Satisfied,Executive,Research Director,Satisfied,Married,18300,16375,4,Y,No,11,Low,Dissatisfied,80,Level 2,21-30,2,Good,1-10,2,1,1
31-45,0,Travel_Frequently,559,Research & Development,Far,Masters degree,Life Sciences,Satisfied,Female,82,Dissatisfied,Junior or Associate,Laboratory Technician,Satisfied,Divorced,5257,6227,1,Y,No,11,Low,Dissatisfied,80,Level 2,1-10,3,Excellent,1-10,7,0,0
